inputSize,timeSorted,timeRandom,timeReverseSorted
10000,0.0,0.15,0.24
11000,0.0,0.19,0.29
12000,0.0,0.23,0.35
13000,0.0,0.27,0.41
14000,0.0,0.32,0.48
15000,0.0,0.36,0.55
16000,0.0,0.41,0.61
17000,0.0,0.47,0.7
18000,0.0,0.53,0.79
19000,0.0,0.6,0.87
20000,0.0,0.67,0.97
21000,0.0,0.75,1.07
22000,0.0,0.83,1.18
23000,0.0,0.92,1.28
24000,0.0,1.02,1.4
25000,0.0,1.12,1.51
26000,0.0,1.22,1.64
27000,0.0,1.35,1.77
28000,0.0,1.47,1.9
29000,0.0,1.57,2.05
30000,0.0,1.73,2.21
31000,0.0,1.87,2.34
32000,0.0,2.03,2.49
33000,0.0,2.17,2.66
34000,0.0,2.33,2.83
35000,0.0,2.52,3.01
36000,0.0,2.67,3.18
37000,0.0,2.86,3.35
38000,0.0,3.04,3.69
39000,0.0,3.31,3.7
40000,0.0,3.43,3.92
41000,0.0,3.64,4.12
42000,0.0,3.85,4.32
43000,0.0,4.05,4.53
44000,0.0,4.28,4.73
45000,0.0,4.53,4.98
46000,0.0,4.74,5.16
47000,0.0,4.98,5.42
48000,0.0,5.23,5.64
49000,0.0,5.49,5.91
50000,0.0,5.73,6.17
