inputSize,timeSorted,timeRandom,timeReverseSorted
10000,0.0,0.16,0.24
11000,0.0,0.19,0.29
12000,0.0,0.23,0.34
13000,0.0,0.27,0.41
14000,0.0,0.31,0.47
15000,0.0,0.36,0.54
16000,0.0,0.41,0.62
17000,0.0,0.47,0.7
18000,0.0,0.53,0.78
19000,0.0,0.6,0.87
20000,0.0,0.67,0.97
21000,0.0,0.74,1.06
22000,0.0,0.82,1.18
23000,0.0,0.92,1.29
24000,0.0,1.01,1.41
25000,0.0,1.12,1.51
26000,0.0,1.22,1.64
27000,0.0,1.34,1.77
28000,0.0,1.46,1.9
29000,0.0,1.58,2.04
30000,0.0,1.72,2.19
31000,0.0,1.85,2.34
32000,0.0,2.01,2.48
33000,0.0,2.16,2.65
34000,0.0,2.31,2.81
35000,0.0,2.48,2.98
36000,0.0,2.64,3.15
37000,0.0,2.83,3.32
38000,0.0,3.02,3.52
39000,0.0,3.21,3.7
40000,0.0,3.41,3.89
41000,0.0,3.61,4.09
42000,0.0,3.81,4.28
43000,0.0,4.05,4.48
44000,0.0,4.25,4.74
45000,0.0,4.48,4.92
46000,0.0,4.7,5.15
47000,0.0,4.93,5.39
48000,0.0,5.21,5.61
49000,0.0,5.46,5.83
50000,0.0,5.71,6.07
