inputSize,timeSorted,timeRandom,timeReverseSorted
10000,0.0,0.15,0.24
11000,0.0,0.19,0.29
12000,0.0,0.23,0.34
13000,0.0,0.27,0.41
14000,0.0,0.31,0.47
15000,0.0,0.36,0.54
16000,0.0,0.41,0.62
17000,0.0,0.47,0.7
18000,0.0,0.53,0.78
19000,0.0,0.59,0.87
20000,0.0,0.66,0.97
21000,0.0,0.74,1.07
22000,0.0,0.82,1.17
23000,0.0,0.91,1.28
24000,0.0,1.0,1.4
25000,0.0,1.11,1.52
26000,0.0,1.22,1.64
27000,0.0,1.34,1.76
28000,0.0,1.46,1.91
29000,0.0,1.58,2.04
30000,0.0,1.72,2.18
31000,0.0,1.86,2.34
32000,0.0,2.01,2.49
33000,0.0,2.16,2.64
34000,0.0,2.32,2.8
35000,0.0,2.47,2.97
36000,0.0,2.65,3.13
37000,0.0,2.84,3.32
38000,0.0,3.03,3.51
39000,0.0,3.21,3.7
40000,0.0,3.4,3.88
41000,0.0,3.61,4.07
42000,0.0,3.82,4.28
43000,0.0,4.04,4.49
44000,0.0,4.27,4.72
45000,0.0,4.49,4.94
46000,0.0,4.71,5.12
47000,0.0,4.95,5.38
48000,0.0,5.23,5.62
49000,0.0,5.46,5.85
50000,0.0,5.7,6.06
51000,0.0,5.96,6.32
52000,0.0,6.25,6.6
53000,0.0,6.51,6.83
54000,0.0,6.79,7.08
55000,0.0,7.07,7.38
56000,0.0,7.37,7.62
57000,0.0,7.64,7.91
58000,0.0,7.94,8.17
59000,0.0,8.2,8.47
60000,0.0,8.53,8.73
61000,0.0,8.87,9.03
62000,0.0,9.19,9.32
63000,0.0,9.52,9.65
64000,0.0,9.86,10.0
65000,0.0,10.19,10.3
66000,0.0,10.51,10.59
67000,0.0,10.87,10.92
68000,0.0,11.23,11.24
69000,0.0,11.6,11.57
70000,0.0,11.92,11.96
71000,0.0,12.27,12.24
72000,0.0,12.67,12.54
73000,0.0,13.02,12.92
74000,0.0,13.47,13.29
75000,0.0,13.82,13.7
76000,0.0,14.26,14.06
77000,0.0,14.67,14.46
78000,0.0,15.54,14.93
79000,0.0,15.43,15.2
80000,0.0,15.84,15.51
81000,0.0,16.22,15.91
82000,0.0,16.69,16.36
83000,0.0,17.16,16.76
84000,0.0,17.58,17.14
85000,0.0,17.97,17.49
86000,0.0,18.46,17.93
87000,0.0,18.96,18.35
88000,0.0,19.47,18.92
89000,0.0,19.91,19.3
90000,0.0,20.35,19.74
91000,0.0,20.9,20.18
92000,0.0,21.37,20.62
93000,0.0,21.83,21.19
94000,0.0,22.31,21.66
95000,0.0,22.8,21.9
96000,0.0,23.25,22.48
97000,0.0,23.79,22.93
98000,0.0,24.22,23.43
99000,0.0,24.76,23.75
100000,0.0,25.25,24.23
