inputSize,timeSorted,timeRandom,timeReverseSorted
10000,0.05,0.0,0.05
11000,0.06,0.0,0.06
12000,0.07,0.0,0.07
13000,0.08,0.0,0.08
14000,0.1,0.0,0.09
15000,0.11,0.0,0.11
16000,0.13,0.0,0.12
17000,0.15,0.0,0.14
18000,0.16,0.0,0.15
19000,0.19,0.0,0.18
20000,0.21,0.0,0.19
21000,0.22,0.0,0.22
22000,0.25,0.0,0.23
23000,0.27,0.0,0.26
24000,0.29,0.0,0.28
25000,0.33,0.0,0.31
26000,0.35,0.0,0.33
27000,0.37,0.0,0.36
28000,0.41,0.0,0.39
29000,0.43,0.0,0.41
30000,0.47,0.0,0.44
31000,0.5,0.0,0.47
32000,0.53,0.0,0.5
33000,0.57,0.0,0.54
34000,0.6,0.0,0.57
35000,0.65,0.0,0.61
36000,0.67,0.0,0.64
37000,0.71,0.0,0.68
38000,0.75,0.0,0.72
39000,0.79,0.0,0.76
40000,0.83,0.0,0.79
41000,0.87,0.0,0.83
42000,0.92,0.0,0.87
43000,0.97,0.0,0.91
44000,1.01,0.0,0.97
45000,1.06,0.0,1.0
46000,1.1,0.0,1.06
47000,1.16,0.0,1.09
48000,1.2,0.01,1.14
49000,1.26,0.01,1.19
50000,1.31,0.01,1.24
