inputSize,timeSorted,timeRandom,timeReverseSorted
10000,0.05,0.0,0.05
11000,0.06,0.0,0.06
12000,0.07,0.0,0.07
13000,0.08,0.0,0.08
14000,0.1,0.0,0.09
15000,0.11,0.0,0.11
16000,0.13,0.0,0.12
17000,0.15,0.0,0.14
18000,0.17,0.0,0.16
19000,0.18,0.0,0.17
20000,0.21,0.0,0.19
21000,0.23,0.0,0.21
22000,0.25,0.0,0.24
23000,0.27,0.0,0.26
24000,0.3,0.0,0.28
25000,0.32,0.0,0.3
26000,0.35,0.0,0.33
27000,0.37,0.0,0.35
28000,0.41,0.0,0.38
29000,0.43,0.0,0.41
30000,0.46,0.0,0.44
31000,0.5,0.0,0.47
32000,0.53,0.0,0.5
33000,0.57,0.0,0.53
34000,0.6,0.0,0.57
35000,0.63,0.0,0.6
36000,0.68,0.0,0.64
37000,0.71,0.0,0.68
38000,0.75,0.0,0.71
39000,0.79,0.0,0.75
40000,0.83,0.0,0.79
41000,0.9,0.0,0.83
42000,0.92,0.0,0.88
43000,0.96,0.0,0.92
44000,1.02,0.0,0.96
45000,1.06,0.0,1.0
46000,1.11,0.0,1.05
47000,1.16,0.0,1.09
48000,1.21,0.0,1.14
49000,1.25,0.01,1.19
50000,1.31,0.01,1.23
51000,1.36,0.0,1.29
52000,1.41,0.0,1.34
53000,1.46,0.0,1.39
54000,1.53,0.01,1.45
55000,1.58,0.01,1.5
56000,1.64,0.01,1.55
57000,1.7,0.01,1.6
58000,1.76,0.01,1.67
59000,1.82,0.0,1.72
60000,1.89,0.01,1.79
61000,1.95,0.01,1.85
62000,2.03,0.01,1.92
63000,2.08,0.01,1.97
64000,2.15,0.01,2.03
65000,2.21,0.01,2.1
66000,2.29,0.01,2.16
67000,2.36,0.01,2.23
68000,2.41,0.01,2.3
69000,2.49,0.01,2.36
70000,2.58,0.01,2.44
71000,2.67,0.01,2.51
72000,2.72,0.01,2.57
73000,2.81,0.01,2.66
74000,2.87,0.01,2.7
75000,2.92,0.0,2.81
76000,3.03,0.01,2.88
77000,3.11,0.01,2.95
78000,3.2,0.01,3.03
79000,3.28,0.01,3.11
80000,3.37,0.01,3.18
81000,3.43,0.01,3.25
82000,3.53,0.01,3.34
83000,3.62,0.01,3.42
84000,3.7,0.01,3.51
85000,3.8,0.01,3.61
86000,3.88,0.01,3.67
87000,3.97,0.01,3.77
88000,4.05,0.01,3.84
89000,4.17,0.01,3.95
90000,4.26,0.01,4.04
91000,4.35,0.01,4.14
92000,4.45,0.01,4.22
93000,4.55,0.01,4.3
94000,4.65,0.01,4.4
95000,4.75,0.01,4.5
96000,4.83,0.02,4.57
97000,4.95,0.01,4.67
98000,5.04,0.01,4.78
99000,5.14,0.01,4.88
100000,5.25,0.02,4.98
